id,query_type1_pubs,query_type2_pubs,query_type3_pubs,query_type4_pubs,query_type5_pubs,query_type6_pubs,no_related_pubs_jdc_website
648,0,457,1,0,457,1,0
649,0,538,0,0,538,0,0
650,0,26,0,0,26,0,0
651,1,1278,7,1,1278,7,0
652,0,409,0,0,409,0,0
653,0,413,0,0,413,0,0
654,0,395,0,0,395,0,0
655,0,39,0,0,39,0,0
656,1,267,0,1,267,0,0
657,0,127,0,0,127,0,0
658,0,246,0,0,246,0,0
659,7,0,0,7,0,0,0
660,6,0,0,6,0,0,0
661,7,0,0,7,0,0,13
662,2,0,0,2,0,0,13
663,3,0,0,3,0,0,0
665,7,0,0,7,0,0,0
666,7,0,0,7,0,0,0
669,0,0,0,0,0,0,0
671,2,2,0,2,2,0,0
672,1,0,0,1,0,0,0
673,6,0,0,0,0,0,0
675,6,0,0,0,0,0,0
676,0,16,0,0,2,0,0
677,0,0,0,0,0,0,13
678,6,0,0,0,0,0,0
679,0,10,0,0,0,0,0
680,0,15,0,0,2,0,13
681,7,0,0,0,0,0,0
682,33,0,0,33,0,0,0
683,35,0,0,35,0,0,0
684,35,0,0,35,0,0,0
686,17,0,0,17,0,0,0
687,17,0,0,17,0,0,0
688,35,0,0,35,0,0,0
689,35,0,0,35,0,0,0
690,35,0,0,35,0,0,0
691,18,1,0,18,1,0,0
692,18,1,0,18,1,0,0
693,2,8,0,0,0,0,0
695,15,0,0,0,0,0,0
696,17,0,0,0,0,0,0
697,2,8,0,0,0,0,0
698,2,8,0,0,0,0,0
699,2,8,0,0,0,0,0
700,2,8,0,0,0,0,0
701,1,1,0,0,0,0,0
703,6,0,0,0,0,0,0
704,0,0,0,0,0,0,0
